"Mnemonic","OemCode","Manufacturer","ESTA Man Code","Product","DMX in","DMX out","Are ports Physical","Is RDM supported","Website"
"Oem_guangzhou_chaiyi_light_co_ltd_tekmand_node_1","0x29B0","Guangzhou ChaiYi Light CO Ltd","0x05EF ","TEKMAND Node","4","4","y","y","http://en.fineart-light.com/"
"Oem_guangzhou_chaiyi_light_co_ltd_tekmand_node_2p_1","0x2BCE","Guangzhou ChaiYi Light CO Ltd","0x05EF ","TEKMAND Node 2P","2","2","y","y","http://en.fineart-light.com"
"Oem_guangzhou_chaiyi_light_co_ltd_tekmand_node_4p_1","0x29BE","Guangzhou ChaiYi Light CO Ltd","0x05EF ","TEKMAND Node 4P","4","4","y","y","http://en.fineart-light.com/"
"Oem_guangzhou_chaiyi_light_co_ltd_tekmand_node_4p_od_1","0x29BC","Guangzhou ChaiYi Light CO Ltd","0x05EF ","TEKMAND Node 4P OD","4","4","y","y","http://en.fineart-light.com"
"Oem_guangzhou_chaiyi_light_co_ltd_tekmand_node_8p_1","0x29BD","Guangzhou ChaiYi Light CO Ltd","0x05EF ","TEKMAND Node 8P","8","8","y","y","http://en.fineart-light.com/"
"Oem_guangzhou_chaiyi_light_co_ltd_tekmand_node_t2p_od_1","0x2E26","Guangzhou Chaiyi Light CO Ltd","0x05EF","TEKMAND Node T2P OD","2","2","y","y","http://en.fineart-light.com/"
"Oem_guangzhou_chaiyi_light_co_ltd_tekmand_node_t4p_od_1","0x2E25","Guangzhou Chaiyi Light CO Ltd","0x05EF","TEKMAND Node T4P OD","4","4","y","y","http://en.fineart-light.com/"
"Oem_guangzhou_chaoran_computer_co_ltd_ethernode8_1","0x2925","Guangzhou Chaoran Computer Co Ltd","0x092C ","EtherNode8","8","8","y","y","http://www.crmcunet.com/"
"Oem_guangzhou_dream_lighting_equipment_co_ltd_dream_l1600hp_flag_1","0x2DB0","GuangZhou Dream Lighting Equipment Co Ltd","0x01DF","DREAM L1600HP FLAG","1","1","y","y","http://www.dlw-lighting.com/Product/details/id/277.html"
"Oem_guangzhou_hongcai_stage_equipment_co_ltd_x7_coupe_1","0x2A53","guangzhou hongcai stage equipment co ltd","0x04B8 ","x7 coupe","1","1","y","y","http://www.jollylighting.com/en/product_show.php?id=232"
